07/30/2024-08:13:10.586889  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.1.66:49805 -> 172.16.1.4:139
07/30/2024-08:11:40.508595  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.1.66:49789 -> 172.16.1.4:139
07/30/2024-08:11:43.797738  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:11:48.814125  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:11:53.829783  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:11:58.845553  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:03.859221  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:08.860897  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:13.874718  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:18.861786  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:23.863235  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
